"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J12,J9,J8,J13";"PinSocket_1x06_P2.54mm_Vertical";4;"Conn_01x06_Female";;;
2;"R1";"R_0805_2012Metric";1;"100k";;;
3;"JP1";"R_0805_2012Metric";1;"Jumper_2_Open";;;
4;"C5";"CP_EIA-3216-18_Kemet-A";1;"100uF";;;
5;"TP1,TP3,TP6,TP2,TP9,TP8,TP10,TP5,TP4,TP11,TP7,TP12";"TestPoint_Pad_D1.5mm";12;"TestPoint";;;
6;"R14";"R_0805_2012Metric";1;"1k";;;
7;"TP14,TP24,TP26,TP13,TP25,TP27,TP16,TP19,TP29,TP23,TP15,TP17,TP32,TP20,TP36,TP30,TP31,TP18,TP34,TP22,TP33,TP21,TP28,TP35";"TestPoint_2Pads_Pitch2.54mm_Drill0.8mm";24;"TestPoint";;;
8;"J4,J1,J5,J6,J10";"JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal";5;"Conn_01x04_Male";;;
9;"H4,H1,H3,H2";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
10;"R8,R6,R12,R10,R2";"R_0805_2012Metric";5;"10k";;;
11;"D1,D2";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"LED";;;
12;"R3,R13,R11,R7,R9";"R_0805_2012Metric";5;"15k";;;
13;"R15";"R_0805_2012Metric";1;"3k";;;
14;"C4,C3,C1";"CP_EIA-3216-18_Kemet-A";3;"10uF";;;
15;"R4";"R_0805_2012Metric";1;"133k";;;
16;"C2";"R_0603_1608Metric";1;"0.1uF";;;
17;"A1";"Adafruit_Feather";1;"Adafruit_Feather_Generic";;;
18;"VR1";"VREG_LT3033IUDC_PBF";1;"LT3033IUDC_PBF";;;
19;"R5";"R_0805_2012Metric";1;"3.92k";;;
20;"U1";"SOT-223";1;"LM1117-5.0";;;
21;"J3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Male";;;
22;"JP11,JP12,JP13,JP19,JP24,JP8,JP14,JP18,JP10,JP16,JP17,JP7,JP21,JP9,JP22,JP15,JP23,JP20";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";18;"SolderJumper_2_Bridged";;;
23;"J7,J11";"JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical";2;"Conn_01x06_Male";;;
24;"JP6,JP4,JP2,JP3,JP5";"SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm_NumberLabels";5;"SolderJumper_3_Bridged12";;;
25;"J2";"AMASS_XT60-M";1;"XT60-M";;;
26;"J14";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04_Male";;;
